,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Atuona,PF,76.69,scattered clouds,-9.8,-139.0333,Villa Enata
14,Alamos,MX,76.78,clear sky,27.0167,-108.9333,Luz del Sol
15,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
18,Samarai,PG,81.46,broken clouds,-10.6167,150.6667,Nuli Sapi
20,Luau,AO,84.36,overcast clouds,-10.7073,22.2247,Kimbo Hotel
25,Butaritari,KI,80.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
28,Kulhudhuffushi,MV,82.04,clear sky,6.6221,73.07,Haajy Guest House 1
34,Ponta Do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
35,Malakal,SS,84.24,clear sky,9.5334,31.6605,Nile Palace Hotel
38,Majene,ID,77.9,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
39,Binalan,PH,77.14,broken clouds,18.3275,121.5451,ARJAN APOLINARIO AQUILIZAN
47,Umm Lajj,SA,86.76,clear sky,25.0213,37.2685,Moon light Furnished Units
48,Abu Kamal,SY,85.73,clear sky,34.4506,40.9171,البوكمال
50,Bengkulu,ID,76.01,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Tomatlan,MX,78.35,overcast clouds,19.9333,-105.25,El Salvial
55,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
57,Hithadhoo,MV,79.25,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
64,Killeen,US,77.04,clear sky,31.1171,-97.7278,"Holiday Inn Killeen - Fort Hood, an IHG Hotel"
65,Guerrero Negro,MX,76.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
68,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
69,Santa Cruz Cabralia,BR,80.83,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
72,Ejido Hermosillo,MX,88.5,clear sky,32.5121,-114.9238,Hotel del Valle
73,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
77,Aitape,PG,77.18,overcast clouds,-3.1374,142.3475,
80,Oussouye,SN,86.85,moderate rain,12.485,-16.5469,Auberge du Routard
84,Kasongo-Lunda,CD,84.47,light rain,-6.4667,16.8167,
93,Luwuk,ID,77.95,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
96,Faanui,PF,78.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Biak,ID,76.73,broken clouds,-0.9131,122.8766,Penginapan Kim
101,Yanam,IN,79.5,overcast clouds,16.7333,82.2167,The Regency Hotel
103,Tuy Hoa,VN,76.8,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
106,Dingle,PH,75.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
114,Polonnaruwa,LK,81.0,light rain,7.9333,81.0,Thisara Guest House
124,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
132,Manokwari,ID,78.49,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
134,Morondava,MG,78.03,clear sky,-20.2833,44.2833,La Case Bambou
140,Benghazi,LY,83.28,broken clouds,32.1167,20.0667,Tibesti Hotel
142,Kavieng,PG,82.47,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
144,Namatanai,PG,79.23,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
148,Sao Filipe,CV,80.96,light rain,14.8961,-24.4956,Hotel Xaguate
153,Peranamallur,IN,84.83,overcast clouds,12.5667,79.4333,
172,Kroya,ID,77.36,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
185,Cape Coast,GH,79.0,light rain,5.1053,-1.2466,Samrit Hotel
190,Lleida,ES,77.2,few clouds,41.6167,0.6167,Hotel Ramon Berenguer IV
191,Puerto Gaitan,CO,86.11,overcast clouds,4.3133,-72.0816,Brisas del Yucao
194,Lorengau,PG,82.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
202,Thinadhoo,MV,80.15,overcast clouds,0.5333,72.9333,
213,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
216,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Green leaf
