City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Baruun-Urt,MN,46.6806,113.2792,62.08,26,40,15.64,scattered clouds
1,Beringovskiy,RU,63.05,179.3167,31.71,83,99,14.67,overcast clouds
2,Illela,NG,13.7292,5.2975,94.3,36,31,7.94,scattered clouds
3,Meulaboh,ID,4.1363,96.1285,73.36,95,100,2.55,light rain
4,Hermanus,ZA,-34.4187,19.2345,66.79,68,39,7.56,scattered clouds
5,Carnarvon,AU,-24.8667,113.6333,69.75,63,0,20.29,clear sky
6,Santa Maria,BR,-29.6842,-53.8069,61.9,63,75,13.8,broken clouds
7,Ayan,RU,56.45,138.1667,39.02,58,100,19.93,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,12.66,clear sky
9,Djibo,BF,14.1022,-1.6306,95.74,34,72,10.71,broken clouds
10,San Quintin,MX,30.4833,-115.95,72.16,83,4,3.76,clear sky
11,Jamestown,US,42.097,-79.2353,54.99,73,100,8.05,overcast clouds
12,Hilo,US,19.7297,-155.09,78.28,81,20,8.01,few clouds
13,Atuona,PF,-9.8,-139.0333,76.69,71,41,23.31,scattered clouds
14,Alamos,MX,27.0167,-108.9333,76.78,63,0,4.56,clear sky
15,Puerto Escondido,MX,15.85,-97.0667,77.83,78,75,0.0,broken clouds
16,Derzhavinsk,KZ,51.1,66.3167,37.62,41,34,11.18,scattered clouds
17,Barrow,US,71.2906,-156.7887,28.42,86,75,18.41,broken clouds
18,Samarai,PG,-10.6167,150.6667,81.46,81,81,10.27,broken clouds
19,Luderitz,NA,-26.6481,15.1594,66.6,58,25,18.1,scattered clouds
20,Luau,AO,-10.7073,22.2247,84.36,29,94,10.07,overcast clouds
21,Castro,BR,-24.7911,-50.0119,56.01,94,100,10.25,moderate rain
22,Mataura,NZ,-46.1927,168.8643,49.48,97,93,1.36,overcast clouds
23,Ahipara,NZ,-35.1667,173.1667,59.32,85,100,11.97,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,69.12,60,0,10.36,clear sky
25,Butaritari,KI,3.0707,172.7902,80.96,77,77,14.99,broken clouds
26,Gympie,AU,-26.1898,152.665,61.52,83,100,2.71,overcast clouds
27,Albany,US,42.6001,-73.9662,59.58,80,71,7.09,broken clouds
28,Kulhudhuffushi,MV,6.6221,73.07,82.04,72,3,11.86,clear sky
29,Ushuaia,AR,-54.8,-68.3,47.86,61,75,2.3,light intensity drizzle
30,Florianopolis,BR,-27.6146,-48.5012,69.55,64,75,13.8,broken clouds
31,Mezen,RU,65.8522,44.24,34.79,72,0,5.97,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,64.85,59,62,13.15,broken clouds
33,Airai,TL,-8.9266,125.4092,62.15,93,84,1.43,broken clouds
34,Ponta Do Sol,PT,32.6667,-17.1,75.0,80,100,1.9,overcast clouds
35,Malakal,SS,9.5334,31.6605,84.24,69,8,3.76,clear sky
36,Noumea,NC,-22.2763,166.4572,67.98,85,75,4.83,broken clouds
37,Port Lincoln,AU,-34.7333,135.8667,53.87,68,84,10.45,broken clouds
38,Majene,ID,-3.5403,118.9707,77.9,87,65,2.59,broken clouds
39,Binalan,PH,18.3275,121.5451,77.14,92,71,2.04,broken clouds
40,East London,ZA,-33.0153,27.9116,65.34,94,100,10.36,fog
41,Kigorobya,UG,1.6162,31.3089,73.51,68,41,1.72,scattered clouds
42,Westport,US,41.1415,-73.3579,64.81,72,0,7.0,clear sky
43,Nalut,LY,30.3333,10.85,90.09,27,94,10.07,overcast clouds
44,Kaeo,NZ,-35.1,173.7833,60.33,88,100,8.68,light rain
45,Batagay,RU,67.6333,134.6333,27.59,96,100,3.06,overcast clouds
46,Vardo,NO,70.3705,31.1107,48.18,76,75,9.22,broken clouds
47,Umm Lajj,SA,25.0213,37.2685,86.76,63,2,1.57,clear sky
48,Abu Kamal,SY,34.4506,40.9171,85.73,17,0,10.09,clear sky
49,Benguela,AO,-12.5763,13.4055,74.26,77,78,10.69,broken clouds
50,Bengkulu,ID,-3.8004,102.2655,76.01,89,71,3.85,broken clouds
51,Kargopol,RU,61.5071,38.9456,43.77,70,94,12.15,overcast clouds
52,Khani,GE,41.9563,42.9566,72.97,60,1,3.11,clear sky
53,Tomatlan,MX,19.9333,-105.25,78.35,82,95,3.0,overcast clouds
54,Vaini,TO,-21.2,-175.2,68.16,94,100,14.97,moderate rain
55,Cabo San Lucas,MX,22.8909,-109.9124,82.51,89,0,1.01,clear sky
56,Mehamn,NO,71.0357,27.8492,48.11,80,34,8.75,scattered clouds
57,Hithadhoo,MV,-0.6,73.0833,79.25,67,100,5.17,overcast clouds
58,Hofn,IS,64.2539,-15.2082,46.42,81,75,2.3,broken clouds
59,Teya,RU,60.3778,92.6267,32.86,94,100,6.2,overcast clouds
60,Kapaa,US,22.0752,-159.319,75.18,86,75,5.75,broken clouds
