City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Luwuk,ID,2022-09-24 14:32:35,-0.9516,122.7875,75.88,86,10,4.65
1,Ilulissat,GL,2022-09-24 14:32:36,69.2167,-51.1,33.82,80,75,13.8
2,Pochutla,MX,2022-09-24 14:32:36,15.7432,-96.4661,80.82,69,93,0.94
3,Sabzevar,IR,2022-09-24 14:32:36,36.2126,57.6819,90.68,14,0,4.61
4,Ushuaia,AR,2022-09-24 14:28:40,-54.8,-68.3,40.62,75,40,11.5
5,Alice Springs,AU,2022-09-24 14:30:10,-23.7,133.8833,71.15,18,0,11.5
6,Lompoc,US,2022-09-24 14:32:37,34.6391,-120.4579,57.92,94,100,0.0
7,Lagoa,PT,2022-09-24 14:32:39,39.05,-27.9833,72.28,84,82,27.63
8,Albany,US,2022-09-24 14:29:45,42.6001,-73.9662,56.28,60,0,1.01
9,Moerai,PF,2022-09-24 14:32:40,-22.4333,-151.3333,71.11,63,84,20.69
10,Kapaa,US,2022-09-24 14:32:40,22.0752,-159.319,79.12,86,0,10.36
11,Wajir,KE,2022-09-24 14:32:40,1.7471,40.0573,94.96,24,20,9.22
12,Benghazi,LY,2022-09-24 14:32:41,32.1167,20.0667,78.64,65,100,19.75
13,Sassandra,CI,2022-09-24 14:32:41,4.95,-6.0833,80.44,74,67,9.06
14,Saint Anthony,US,2022-09-24 14:32:42,45.0205,-93.218,58.48,93,100,9.22
15,Mataura,NZ,2022-09-24 14:32:42,-46.1927,168.8643,49.48,97,100,4.41
16,Saskylakh,RU,2022-09-24 14:32:43,71.9167,114.0833,24.96,95,100,4.74
17,Bredasdorp,ZA,2022-09-24 14:32:43,-34.5322,20.0403,61.88,71,100,14.41
18,Praia,CV,2022-09-24 14:32:43,14.9215,-23.5087,82.02,74,81,9.28
19,Rikitea,PF,2022-09-24 14:32:44,-23.1203,-134.9692,70.43,68,7,13.71
20,Port Lincoln,AU,2022-09-24 14:32:44,-34.7333,135.8667,52.63,73,67,8.46
21,Salalah,OM,2022-09-24 14:32:45,17.0151,54.0924,79.57,84,66,5.82
22,Kungurtug,RU,2022-09-24 14:32:46,50.5994,97.5228,38.82,58,61,2.71
23,Norman Wells,CA,2022-09-24 14:32:46,65.282,-126.8329,28.44,93,40,6.91
24,Talcahuano,CL,2022-09-24 14:32:18,-36.7167,-73.1167,53.28,71,75,4.61
25,Muradnagar,IN,2022-09-24 14:32:47,28.7833,77.5,77.09,95,100,6.76
26,Faanui,PF,2022-09-24 14:32:47,-16.4833,-151.75,77.23,76,30,17.78
27,Thompson,CA,2022-09-24 14:32:47,55.7435,-97.8558,51.96,87,75,4.61
28,Lincoln,US,2022-09-24 14:31:59,40.8,-96.667,63.55,78,0,1.01
29,Bambous Virieux,MU,2022-09-24 14:32:48,-20.3428,57.7575,71.85,83,75,13.8
30,Martapura,ID,2022-09-24 14:32:48,-3.4167,114.85,75.29,94,40,4.61
31,Cherskiy,RU,2022-09-24 14:32:49,68.75,161.3,27.68,87,24,8.95
32,Atuona,PF,2022-09-24 14:32:49,-9.8,-139.0333,76.44,78,28,18.99
33,Mahebourg,MU,2022-09-24 14:32:50,-20.4081,57.7,71.89,83,75,13.8
34,Shaoguan,CN,2022-09-24 14:32:50,24.8,113.5833,79.86,54,76,2.19
35,Nikolskoye,RU,2022-09-24 14:32:50,59.7035,30.7861,53.49,70,98,11.86
36,Melilla,ES,2022-09-24 14:32:51,35.2937,-2.9383,88.0,57,20,13.8
37,Severo-Kurilsk,RU,2022-09-24 14:32:51,50.6789,156.125,51.82,98,100,21.7
38,Altamont,US,2022-09-24 14:32:52,42.2068,-121.7372,50.77,74,0,0.0
39,Batemans Bay,AU,2022-09-24 14:32:52,-35.7167,150.1833,51.24,94,18,3.69
40,New Norfolk,AU,2022-09-24 14:32:53,-42.7826,147.0587,42.3,84,69,1.01
41,Nome,US,2022-09-24 14:32:53,64.5011,-165.4064,42.87,87,100,5.75
42,Kieta,PG,2022-09-24 14:32:54,-6.2167,155.6333,79.12,83,100,1.7
43,Cape Town,ZA,2022-09-24 14:29:07,-33.9258,18.4232,64.11,51,0,11.5
44,Barrow,US,2022-09-24 14:32:55,71.2906,-156.7887,33.82,86,100,9.22
45,Gat,IL,2022-09-24 14:32:55,31.61,34.7642,90.39,39,0,17.72
46,Boyolangu,ID,2022-09-24 14:32:56,-8.1181,111.8935,75.45,92,48,3.91
47,Malatya,TR,2022-09-24 14:33:56,38.5,38.0,62.65,42,75,25.32
48,Bubaque,GW,2022-09-24 14:33:57,11.2833,-15.8333,80.56,80,90,12.59
49,San Policarpo,PH,2022-09-24 14:33:57,12.1791,125.5072,77.88,88,100,9.01
50,Butaritari,KI,2022-09-24 14:33:58,3.0707,172.7902,81.46,76,69,12.17
51,Aykhal,RU,2022-09-24 14:33:58,66.0,111.5,23.81,97,100,7.92
52,Escanaba,US,2022-09-24 14:29:05,45.7453,-87.0646,52.11,99,100,4.61
53,Belmonte,BR,2022-09-24 14:33:59,-15.8631,-38.8828,78.6,84,86,3.65
54,Singaparna,ID,2022-09-24 14:33:59,-7.3515,108.111,71.56,98,62,1.95
55,Hermanus,ZA,2022-09-24 14:34:00,-34.4187,19.2345,62.8,77,100,12.06
56,Alofi,NU,2022-09-24 14:29:27,-19.0595,-169.9187,73.29,78,100,8.05
57,Tuktoyaktuk,CA,2022-09-24 14:34:00,69.4541,-133.0374,32.0,86,100,9.22
58,Hithadhoo,MV,2022-09-24 14:34:01,-0.6,73.0833,81.82,72,86,5.03
59,Port Blair,IN,2022-09-24 14:32:25,11.6667,92.75,80.83,81,65,7.54
60,Jamestown,US,2022-09-24 14:30:09,42.097,-79.2353,56.01,65,20,4.61
61,Victoria,HK,2022-09-24 14:34:02,22.2855,114.1577,84.33,72,70,11.01
62,Manbij,SY,2022-09-24 14:34:02,36.5281,37.9549,77.23,37,1,17.67
63,Toyooka,JP,2022-09-24 14:34:03,35.5333,134.8333,61.45,80,45,2.91
64,Port Macquarie,AU,2022-09-24 14:34:03,-31.4333,152.9167,54.9,92,9,8.3
65,Busselton,AU,2022-09-24 14:34:04,-33.65,115.3333,53.73,62,89,1.95
66,Quatre Cocos,MU,2022-09-24 14:34:04,-20.2078,57.7625,71.71,79,25,18.07
67,Vaini,TO,2022-09-24 14:34:05,-21.2,-175.2,75.36,88,75,4.61
68,Lom Sak,TH,2022-09-24 14:34:05,16.7798,101.2422,75.09,91,100,5.68
69,Namibe,AO,2022-09-24 14:34:07,-15.1961,12.1522,67.53,72,55,12.1
70,Aasiaat,GL,2022-09-24 14:34:08,68.7098,-52.8699,35.02,66,19,24.85
71,Syracuse,IT,2022-09-24 14:32:02,37.0881,15.2792,78.39,52,7,15.01
72,Comodoro Rivadavia,AR,2022-09-24 14:34:08,-45.8667,-67.5,57.06,41,20,28.77
73,Ocean City,US,2022-09-24 14:34:09,39.2776,-74.5746,59.99,62,94,8.01
74,Arraial Do Cabo,BR,2022-09-24 14:34:09,-22.9661,-42.0278,73.36,56,20,18.41
75,Salvador,SV,2022-09-24 14:33:14,13.8333,-88.9167,77.05,80,69,2.48
76,Lensk,RU,2022-09-24 14:34:11,60.7253,114.9278,33.75,98,100,7.92
77,Port Alfred,ZA,2022-09-24 14:34:11,-33.5906,26.891,68.18,89,72,5.99
78,Upernavik,GL,2022-09-24 14:34:12,72.7868,-56.1549,28.54,62,45,4.59
79,Sao Filipe,CV,2022-09-24 14:34:12,14.8961,-24.4956,79.66,78,11,6.87
80,Kaitangata,NZ,2022-09-24 14:34:12,-46.2817,169.8464,47.1,95,100,10.09
81,Moba,CN,2022-09-24 14:34:13,33.2288,105.0179,50.7,97,100,3.31
82,Fare,PF,2022-09-24 14:34:13,-16.7,-151.0167,77.2,76,14,19.04
83,Neiafu,TO,2022-09-24 14:34:14,-18.65,-173.9833,77.68,83,20,11.5
84,Hukuntsi,BW,2022-09-24 14:34:14,-24.0,21.75,93.09,7,0,10.56
85,Moacsa,RO,2022-09-24 14:34:14,45.8667,25.9667,58.1,56,95,6.06
86,Chenzhou,CN,2022-09-24 14:34:15,25.8,113.0333,72.7,56,53,1.52
87,Mayo,US,2022-09-24 14:34:15,38.8876,-76.5119,62.98,60,0,6.91
88,Yellowknife,CA,2022-09-24 14:35:16,62.456,-114.3525,36.12,75,20,13.8
89,Waverley,ZA,2022-09-24 14:35:17,-25.7023,28.2591,88.3,14,0,8.05
90,Georgetown,MY,2022-09-24 14:35:17,5.4112,100.3354,84.88,79,20,2.3
91,Tasiilaq,GL,2022-09-24 14:35:17,65.6145,-37.6368,41.16,100,100,6.98
92,Karratha,AU,2022-09-24 14:35:18,-20.7377,116.8463,78.37,46,0,11.43
93,Pisco,PE,2022-09-24 14:30:25,-13.7,-76.2167,62.02,72,0,9.22
94,Castro,BR,2022-09-24 14:34:22,-24.7911,-50.0119,64.2,50,0,3.6
95,Hobart,AU,2022-09-24 14:35:19,-42.8794,147.3294,42.66,94,58,4.61
96,Bathsheba,BB,2022-09-24 14:35:19,13.2167,-59.5167,88.41,66,40,16.11
97,Malkapur,IN,2022-09-24 14:35:20,20.8833,76.2,76.06,82,9,4.92
98,Joshimath,IN,2022-09-24 14:35:20,30.5667,79.5667,66.04,89,100,2.3
99,Yarada,IN,2022-09-24 14:35:21,17.65,83.2667,79.12,89,75,3.44
100,Zhicheng,CN,2022-09-24 14:35:21,30.2956,111.5047,58.75,93,100,2.89
101,Bluff,NZ,2022-09-24 14:35:22,-46.6,168.3333,49.8,92,100,17.78
102,Nanortalik,GL,2022-09-24 14:35:22,60.1432,-45.2371,43.41,99,100,10.63
103,Khatanga,RU,2022-09-24 14:35:23,71.9667,102.5,23.07,87,100,5.79
104,Tavira,PT,2022-09-24 14:35:23,37.1273,-7.6486,80.28,78,82,5.99
105,Dubuque,US,2022-09-24 14:35:25,42.4833,-90.8668,54.19,85,100,9.22
106,Filottrano,IT,2022-09-24 14:35:25,43.4355,13.3514,68.29,43,98,1.01
107,Qaanaaq,GL,2022-09-24 14:35:26,77.484,-69.3632,11.01,74,57,9.86
108,Punta Arenas,CL,2022-09-24 14:35:03,-53.15,-70.9167,41.11,65,20,23.02
109,Kavieng,PG,2022-09-24 14:35:26,-2.5744,150.7967,81.39,78,28,10.76
110,Puerto Ayora,EC,2022-09-24 14:35:26,-0.7393,-90.3518,69.76,91,96,5.99
111,Korla,CN,2022-09-24 14:35:27,41.7597,86.1469,75.13,19,0,3.91
112,Havre-Saint-Pierre,CA,2022-09-24 14:35:27,50.2334,-63.5986,48.56,87,100,24.16
113,Sioux Lookout,CA,2022-09-24 14:35:28,50.1001,-91.917,53.67,87,100,6.91
114,Dikson,RU,2022-09-24 14:35:28,73.5069,80.5464,33.22,73,100,18.95
115,Tarakan,ID,2022-09-24 14:35:29,3.3,117.6333,81.9,78,40,10.36
116,Tuatapere,NZ,2022-09-24 14:35:29,-46.1333,167.6833,47.23,97,100,4.07
117,Port Hardy,CA,2022-09-24 14:35:30,50.6996,-127.4199,53.78,94,100,2.3
118,Talara,PE,2022-09-24 14:35:30,-4.5772,-81.2719,66.96,72,75,21.85
119,East London,ZA,2022-09-24 14:35:30,-33.0153,27.9116,70.74,78,0,12.66
120,Chuy,UY,2022-09-24 14:35:31,-33.6971,-53.4616,63.66,46,44,2.55
121,Hasaki,JP,2022-09-24 14:35:31,35.7333,140.8333,72.28,93,100,24.2
122,Isangel,VU,2022-09-24 14:35:32,-19.55,169.2667,75.36,87,4,6.71
123,Mareeba,AU,2022-09-24 14:35:32,-17.0,145.4333,68.72,96,49,3.13
124,Constitucion,CL,2022-09-24 14:32:41,-35.3333,-72.4167,54.99,83,98,1.19
125,Coihaique,CL,2022-09-24 14:31:43,-45.5752,-72.0662,48.81,66,75,3.44
126,Port Elizabeth,ZA,2022-09-24 14:35:33,-33.918,25.5701,68.31,74,0,8.05
127,Aksarayskiy,RU,2022-09-24 14:35:33,46.7924,48.0119,60.42,52,100,18.25
128,Elko,US,2022-09-24 14:35:34,41.0002,-115.5012,35.62,27,0,2.53
129,Padang,ID,2022-09-24 14:35:35,-0.9492,100.3543,77.47,81,100,3.4
130,Cayenne,GF,2022-09-24 14:35:35,4.9333,-52.3333,89.64,58,75,5.75
131,Tuzha,RU,2022-09-24 14:35:35,57.6062,47.936,55.63,84,30,10.76
132,Hami,CN,2022-09-24 14:35:36,42.8,93.45,73.33,12,0,6.98
133,Tsogni,GA,2022-09-24 14:35:37,-2.7942,10.0988,78.19,77,78,9.1
134,Hamilton,US,2022-09-24 14:31:08,39.1834,-84.5333,59.94,86,100,11.5
135,Tugulym,RU,2022-09-24 14:35:37,57.0591,64.6425,59.32,65,100,9.04
136,Torbay,CA,2022-09-24 14:35:36,47.6666,-52.7314,68.27,86,40,26.46
137,Mao,ES,2022-09-24 14:36:38,39.8885,4.2658,77.56,65,20,9.22
138,Bay Saint Louis,US,2022-09-24 14:36:39,30.3088,-89.33,82.06,64,0,0.0
139,Simao,CN,2022-09-24 14:36:39,22.7886,100.9748,62.96,95,75,2.39
140,Ambilobe,MG,2022-09-24 14:36:40,-13.2,49.05,78.17,53,19,11.61
141,San Vicente,AR,2022-09-24 14:36:40,-26.6167,-54.1333,68.36,32,0,3.71
142,Lebu,CL,2022-09-24 14:33:05,-37.6167,-73.65,52.99,70,8,15.64
143,Spornoye,RU,2022-09-24 14:36:41,50.8448,37.2913,50.31,68,41,10.07
144,Coquimbo,CL,2022-09-24 14:36:41,-29.9533,-71.3436,56.93,82,100,6.91
145,Miri,MY,2022-09-24 14:36:42,4.4148,114.0089,77.14,94,20,2.3
146,Kenai,US,2022-09-24 14:36:42,60.5544,-151.2583,41.14,85,20,8.05
147,Cidreira,BR,2022-09-24 14:36:42,-30.1811,-50.2056,63.36,53,0,7.54
148,Rio Gallegos,AR,2022-09-24 14:36:43,-51.6226,-69.2181,42.85,45,20,28.77
149,Lasa,IT,2022-09-24 14:36:43,46.6166,10.7002,51.69,98,100,3.94
150,Karpogory,RU,2022-09-24 14:36:44,64.0019,44.4451,42.13,56,100,10.18
151,Ariquemes,BR,2022-09-24 14:36:44,-9.9133,-63.0408,95.45,37,100,1.07
152,Takoradi,GH,2022-09-24 14:36:45,4.8845,-1.7554,79.65,81,31,11.95
153,Bengkulu,ID,2022-09-24 14:36:46,-3.8004,102.2655,75.47,89,98,3.53
154,Port Hedland,AU,2022-09-24 14:36:46,-20.3167,118.5667,78.85,65,0,11.5
155,Pemangkat,ID,2022-09-24 14:36:47,1.1667,108.9667,79.79,78,99,4.68
156,Vardo,NO,2022-09-24 14:36:47,70.3705,31.1107,49.98,81,17,18.41
157,La Paz,BO,2022-09-24 14:36:48,-16.5,-68.15,53.58,62,75,8.05
158,Chokurdakh,RU,2022-09-24 14:36:48,70.6333,147.9167,30.31,98,73,4.74
159,Ankang,CN,2022-09-24 14:36:48,32.68,109.0172,58.59,62,86,1.83
160,Geraldton,AU,2022-09-24 14:36:49,-28.7667,114.6,55.81,76,100,10.36
161,Phalaborwa,ZA,2022-09-24 14:36:49,-23.943,31.1411,88.88,30,0,8.59
162,Santana,BR,2022-09-24 14:36:50,-0.0583,-51.1817,91.58,62,0,10.36
163,Ornskoldsvik,SE,2022-09-24 14:36:50,63.2909,18.7153,54.55,87,100,9.22
164,Ancud,CL,2022-09-24 14:36:50,-41.8697,-73.8203,51.22,75,12,4.12
165,Boende,CD,2022-09-24 14:36:51,-0.2167,20.8667,73.36,88,97,4.63
166,Buin,CL,2022-09-24 14:36:51,-33.7333,-70.75,57.43,90,100,4.29
167,Balkhash,KZ,2022-09-24 14:36:52,46.844,74.9804,69.44,32,0,12.88
168,Klaksvik,FO,2022-09-24 14:36:52,62.2266,-6.589,52.72,80,100,10.49
169,Avarua,CK,2022-09-24 14:36:53,-21.2078,-159.775,71.65,73,75,11.5
170,Vestmannaeyjar,IS,2022-09-24 14:36:53,63.4427,-20.2734,52.79,100,100,18.41
171,Mamlyutka,KZ,2022-09-24 14:36:54,54.9375,68.5394,71.17,38,100,1.77
172,Atar,MR,2022-09-24 14:36:54,20.5169,-13.0499,97.32,32,100,9.82
173,Makakilo City,US,2022-09-24 14:36:54,21.3469,-158.0858,77.32,89,75,3.44
174,Pimenta Bueno,BR,2022-09-24 14:36:55,-11.6725,-61.1936,98.31,34,42,2.3
175,Camacha,PT,2022-09-24 14:36:55,33.0833,-16.3333,72.82,57,40,9.22
176,Egvekinot,RU,2022-09-24 14:36:56,66.3167,-179.1667,24.1,68,97,11.41
177,Carnarvon,AU,2022-09-24 14:36:56,-24.8667,113.6333,65.62,73,0,25.57
178,Bethel,US,2022-09-24 14:34:39,41.3712,-73.414,58.19,58,0,8.05
179,Lavrentiya,RU,2022-09-24 14:36:57,65.5833,-171.0,36.68,73,100,15.08
180,Nileshwar,IN,2022-09-24 14:36:58,12.25,75.1,79.29,81,3,6.02
181,Hamadan,IR,2022-09-24 14:36:58,34.7992,48.5146,74.41,15,0,8.32
182,Natitingou,BJ,2022-09-24 14:36:59,10.3042,1.3796,85.28,62,86,3.65
183,Cape Canaveral,US,2022-09-24 14:37:59,28.4058,-80.6048,86.07,65,0,11.5
184,Ishim,RU,2022-09-24 14:37:04,56.1128,69.4902,65.98,49,100,6.24
185,Saint-Philippe,RE,2022-09-24 14:38:00,-21.3585,55.7679,72.99,83,20,14.94
186,Itarema,BR,2022-09-24 14:38:00,-2.9248,-39.9167,86.5,57,72,16.58
187,Sao Joao Da Barra,BR,2022-09-24 14:38:01,-21.6403,-41.0511,77.09,55,81,14.83
188,Tarnos,FR,2022-09-24 14:38:01,43.5417,-1.4628,64.58,86,75,6.91
189,Mar Del Plata,AR,2022-09-24 14:38:02,-38.0023,-57.5575,66.22,42,0,12.66
190,Gizo,SB,2022-09-24 14:38:02,-8.103,156.8419,82.0,76,100,6.69
191,Mana,GF,2022-09-24 14:38:03,5.6592,-53.7767,87.84,58,83,5.77
192,Ballina,AU,2022-09-24 14:37:12,-28.8667,153.5667,61.02,99,0,7.94
193,Villaviciosa,ES,2022-09-24 14:38:03,43.4813,-5.4357,63.16,77,85,4.94
194,Longyearbyen,SJ,2022-09-24 14:38:04,78.2186,15.6401,39.04,81,75,11.5
195,Sola,VU,2022-09-24 14:38:04,-13.8833,167.55,80.29,80,79,14.7
196,Boa Vista,BR,2022-09-24 14:35:26,2.8197,-60.6733,89.58,58,20,6.91
197,Acapulco,MX,2022-09-24 14:35:29,16.8634,-99.8901,80.42,83,75,3.44
198,Provideniya,RU,2022-09-24 14:38:05,64.3833,-173.3,36.68,71,100,8.55
199,Baruun-Urt,MN,2022-09-24 14:38:06,46.6806,113.2792,43.12,90,9,7.96
200,Samagaltay,RU,2022-09-24 14:38:06,50.6022,95.0047,43.34,47,68,8.23
201,Igrim,RU,2022-09-24 14:38:07,63.1906,64.4162,38.07,72,83,7.34
202,Ribeira Grande,PT,2022-09-24 14:38:07,38.5167,-28.7,73.8,88,40,26.46
203,Narsaq,GL,2022-09-24 14:38:08,60.9167,-46.05,50.22,99,100,3.98
204,Evensk,RU,2022-09-24 14:38:08,61.95,159.2333,36.48,66,6,9.75
205,Hilo,US,2022-09-24 14:34:24,19.7297,-155.09,77.29,84,75,4.61
206,Bacolod,PH,2022-09-24 14:35:58,10.6667,122.95,77.43,90,100,8.1
207,Charters Towers,AU,2022-09-24 14:38:10,-20.1,146.2667,67.62,90,0,7.16
208,Mhlume,SZ,2022-09-24 14:38:11,-26.0333,31.85,85.84,41,0,9.46
209,Russell,US,2022-09-24 14:38:11,32.3502,-85.1999,72.01,44,0,4.65
210,Esperance,AU,2022-09-24 14:38:12,-33.8667,121.9,53.78,60,42,11.12
211,Pevek,RU,2022-09-24 14:38:12,69.7008,170.3133,30.79,72,100,16.13
212,Port Pirie,AU,2022-09-24 14:38:14,-33.1833,138.0167,54.16,55,1,4.83
213,Santa Rita,BR,2022-09-24 14:38:14,-7.1139,-34.9781,84.87,58,75,12.66
214,Kiunga,PG,2022-09-24 14:38:15,-6.1219,141.2906,72.43,89,100,2.37
215,Iquitos,PE,2022-09-24 14:34:35,-3.7481,-73.2472,77.04,88,75,4.61
216,Suntar,RU,2022-09-24 14:38:15,62.1444,117.6319,32.49,95,99,4.76
217,Marsh Harbour,BS,2022-09-24 14:35:36,26.5412,-77.0636,82.74,71,7,10.83
218,Novozybkov,RU,2022-09-24 14:38:16,52.5396,31.9275,52.57,79,100,13.04
219,Vila Franca Do Campo,PT,2022-09-24 14:38:16,37.7167,-25.4333,73.81,77,100,13.62
220,Svetlogorsk,BY,2022-09-24 14:38:17,52.6333,29.7333,51.44,77,86,12.21
221,Margate,GB,2022-09-24 14:38:17,51.3813,1.3862,64.31,71,91,8.01
222,Zenzeli,RU,2022-09-24 14:38:18,45.9241,47.0474,59.47,56,100,14.7
223,Tautira,PF,2022-09-24 14:38:18,-17.7333,-149.15,75.13,80,49,20.89
224,Metkovic,HR,2022-09-24 14:38:19,43.0542,17.6483,72.07,43,63,9.17
225,Alekseyevsk,RU,2022-09-24 14:38:19,57.8406,108.3492,30.67,87,71,2.82
226,Nardaran,AZ,2022-09-24 14:38:19,40.5561,50.0056,74.84,73,20,6.91
227,Sucila,MX,2022-09-24 14:39:20,21.15,-88.3167,85.57,63,23,5.12
